DATAFLOW,LAST UPDATE,freq,unit,schedule,tra_cov,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-12,11894818,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2024-01,10628326,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2024-02,10626016,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2022-11,1887554,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2022-12,1850083,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-01,1742928,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-02,1800477,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-03,2156307,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-04,2503668,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-05,2725514,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-06,2884207,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-07,3337952,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-08,2998640,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-09,2906710,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-10,2929963,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-11,2097385,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DK,2023-12,2110372,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2022-11,202421,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2022-12,201155,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-01,191313,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-02,186167,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-03,226947,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-04,228204,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-05,266059,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-06,262686,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-07,269456,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-08,277171,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-09,268163,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-10,278598,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-11,214420,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EE,2023-12,219726,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EL,2022-11,1391219,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EL,2022-12,1344132,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,EL,2023-01,1189321,
